Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy,Feedback,Feedback Response,Ping Time (ms)
1,69,XXXX,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,71.81382179260254
1,70,RED,"(0, 0, 255)",m,b,2.0265579223632812e-05,0,,,234.32183265686035
1,71,RED,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,65.9189224243164
1,72,BLUE,"(0, 0, 255)",m,b,1.2159347534179688e-05,0,,,64.83292579650879
1,73,RED,"(255, 0, 0)",m,m,4.0531158447265625e-06,1,,,65.1237964630127
1,74,RED,"(255, 0, 0)",m,m,6.9141387939453125e-06,1,,,64.76020812988281
1,75,BLUE,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,64.41307067871094
1,76,XXXX,"(0, 0, 255)",m,b,6.198883056640625e-06,0,,,64.65888023376465
1,77,RED,"(255, 0, 0)",b,m,5.9604644775390625e-06,0,,,66.66302680969238
1,78,RED,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,64.6049976348877
1,79,BLUE,"(0, 0, 255)",b,b,9.059906005859375e-06,1,,,72.87120819091797
1,80,XXXX,"(255, 0, 0)",m,m,8.106231689453125e-06,1,,,68.64809989929199
1,81,XXXX,"(255, 0, 0)",b,m,7.152557373046875e-06,0,,,65.22798538208008
1,82,RED,"(0, 0, 255)",m,b,6.9141387939453125e-06,0,,,71.69389724731445
1,83,BLUE,"(0, 0, 255)",b,b,6.198883056640625e-06,1,,,64.76807594299316
1,84,XXXX,"(0, 0, 255)",b,b,1.3113021850585938e-05,1,,,228.67703437805176
1,85,BLUE,"(0, 0, 255)",m,b,1.3828277587890625e-05,0,,,66.33281707763672
1,86,XXXX,"(0, 0, 255)",m,b,1.2159347534179688e-05,0,,,65.22893905639648
1,87,RED,"(0, 0, 255)",b,b,1.2159347534179688e-05,1,,,65.43278694152832
1,88,RED,"(0, 0, 255)",m,b,1.2874603271484375e-05,0,,,72.07202911376953
1,89,XXXX,"(0, 0, 255)",m,b,1.3113021850585938e-05,0,,,65.50002098083496
1,90,XXXX,"(255, 0, 0)",m,m,1.2874603271484375e-05,1,,,66.08176231384277
1,91,XXXX,"(255, 0, 0)",m,m,3.1948089599609375e-05,1,,,66.32208824157715
1,92,XXXX,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,71.70414924621582
1,93,RED,"(255, 0, 0)",m,m,8.106231689453125e-06,1,,,66.31183624267578
1,94,BLUE,"(255, 0, 0)",m,m,3.814697265625e-06,1,,,71.9139575958252
1,95,RED,"(255, 0, 0)",m,m,4.291534423828125e-06,1,,,66.49112701416016
1,96,XXXX,"(255, 0, 0)",b,m,4.76837158203125e-06,0,,,72.09014892578125
1,97,RED,"(255, 0, 0)",m,m,7.867813110351562e-06,1,,,64.90683555603027
1,98,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,65.68717956542969
1,99,XXXX,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,65.35029411315918
1,100,XXXX,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,66.1156177520752
1,101,RED,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,71.91085815429688
1,102,BLUE,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,64.34774398803711
1,103,BLUE,"(0, 0, 255)",b,b,1.1205673217773438e-05,1,,,64.29195404052734
1,104,BLUE,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,71.57683372497559
1,105,BLUE,"(0, 0, 255)",b,b,1.2159347534179688e-05,1,,,66.39599800109863
1,106,RED,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,71.56777381896973
1,107,XXXX,"(0, 0, 255)",m,b,1.52587890625e-05,0,,,71.74181938171387
1,108,BLUE,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,71.42186164855957
1,109,RED,"(0, 0, 255)",b,b,1.5735626220703125e-05,1,,,66.91288948059082
1,110,BLUE,"(0, 0, 255)",b,b,1.4781951904296875e-05,1,,,65.4299259185791
1,111,BLUE,"(0, 0, 255)",b,b,1.0967254638671875e-05,1,,,66.01285934448242
1,112,XXXX,"(0, 0, 255)",m,b,1.5735626220703125e-05,0,,,71.70391082763672
1,113,XXXX,"(0, 0, 255)",m,b,1.5735626220703125e-05,0,,,72.00908660888672
1,114,XXXX,"(255, 0, 0)",b,m,1.621246337890625e-05,0,,,72.35193252563477
1,115,BLUE,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,66.4682388305664
1,116,RED,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,65.8881664276123
1,117,RED,"(0, 0, 255)",b,b,3.0994415283203125e-06,1,,,71.26903533935547
1,118,RED,"(0, 0, 255)",b,b,2.86102294921875e-06,1,,,66.84494018554688
1,119,RED,"(255, 0, 0)",b,m,9.775161743164062e-06,0,,,73.04191589355469
1,120,BLUE,"(0, 0, 255)",m,b,4.291534423828125e-06,0,,,66.96772575378418
1,121,XXXX,"(0, 0, 255)",m,b,1.2874603271484375e-05,0,,,253.33809852600098
1,122,RED,"(0, 0, 255)",b,b,7.867813110351562e-06,1,,,65.61088562011719
1,123,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-05,0,,,65.75417518615723
1,124,XXXX,"(0, 0, 255)",b,b,1.621246337890625e-05,1,,,65.02199172973633
1,125,XXXX,"(255, 0, 0)",m,m,1.5735626220703125e-05,1,,,65.26899337768555
1,126,XXXX,"(255, 0, 0)",b,m,1.5735626220703125e-05,0,,,65.17314910888672
1,127,BLUE,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,65.81616401672363
1,128,XXXX,"(255, 0, 0)",b,m,1.3113021850585938e-05,0,,,81.58016204833984
1,129,BLUE,"(0, 0, 255)",m,b,1.5735626220703125e-05,0,,,71.91801071166992
1,130,RED,"(255, 0, 0)",m,m,1.5974044799804688e-05,1,,,65.71578979492188
1,131,BLUE,"(0, 0, 255)",b,b,1.0967254638671875e-05,1,,,65.85502624511719
1,132,BLUE,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,79.18977737426758
1,133,RED,"(255, 0, 0)",b,m,1.5735626220703125e-05,0,,,66.5900707244873
1,134,RED,"(255, 0, 0)",b,m,1.621246337890625e-05,0,,,71.90823554992676
1,135,RED,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,71.68793678283691
1,136,RED,"(0, 0, 255)",m,b,1.1205673217773438e-05,0,,,72.59917259216309
1,137,BLUE,"(0, 0, 255)",b,b,1.3113021850585938e-05,1,,,64.90516662597656
1,138,BLUE,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,64.8188591003418
1,139,XXXX,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,65.70887565612793
1,140,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-05,0,,,64.1028881072998
1,141,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-05,0,,,66.12396240234375
1,142,XXXX,"(255, 0, 0)",m,m,1.2159347534179688e-05,1,,,65.30261039733887
1,143,BLUE,"(255, 0, 0)",b,m,1.1920928955078125e-05,0,,,71.8221664428711
1,144,RED,"(0, 0, 255)",m,b,1.1205673217773438e-05,0,,,71.63691520690918
1,145,BLUE,"(0, 0, 255)",b,b,8.106231689453125e-06,1,,,73.83894920349121
1,146,RED,"(0, 0, 255)",b,b,1.0013580322265625e-05,1,,,72.06606864929199
1,147,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-05,0,,,71.04992866516113
1,148,XXXX,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,66.28894805908203
1,149,XXXX,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,66.21789932250977
1,150,BLUE,"(255, 0, 0)",b,m,1.3113021850585938e-05,0,,,65.60993194580078
1,151,XXXX,"(0, 0, 255)",b,b,3.814697265625e-06,1,,,71.2738037109375
1,152,BLUE,"(255, 0, 0)",m,m,1.3113021850585938e-05,1,,,71.52700424194336
1,153,XXXX,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,66.00403785705566
1,154,BLUE,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,72.66092300415039
1,155,BLUE,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,66.20097160339355
1,156,XXXX,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,71.36106491088867
1,157,XXXX,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,72.10206985473633
1,158,XXXX,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,71.68292999267578
1,159,RED,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,69.24080848693848
1,160,XXXX,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,71.8379020690918
1,161,RED,"(0, 0, 255)",m,b,1.3828277587890625e-05,0,,,67.43621826171875
1,162,BLUE,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,66.45083427429199
1,163,BLUE,"(0, 0, 255)",b,b,2.574920654296875e-05,1,,,65.31310081481934
1,164,XXXX,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,66.62130355834961
1,165,RED,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,65.86980819702148
1,166,BLUE,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,65.54889678955078
1,167,RED,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,67.35897064208984
1,168,XXXX,"(0, 0, 255)",b,b,1.5735626220703125e-05,1,,,72.34406471252441
1,169,BLUE,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,72.00002670288086
1,170,BLUE,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,65.22178649902344
1,171,BLUE,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,71.73299789428711
1,172,RED,"(255, 0, 0)",m,m,1.0013580322265625e-05,1,,,71.53677940368652
1,173,BLUE,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,75.653076171875
1,174,XXXX,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,66.01500511169434
1,175,XXXX,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,65.41323661804199
1,176,BLUE,"(0, 0, 255)",b,b,1.2159347534179688e-05,1,,,71.85792922973633
1,177,BLUE,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,68.46404075622559
1,178,BLUE,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,66.12706184387207
1,179,RED,"(255, 0, 0)",b,m,1.621246337890625e-05,0,,,244.87709999084473
1,180,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-05,0,,,248.87585639953613
1,181,XXXX,"(0, 0, 255)",m,b,4.0531158447265625e-06,0,,,67.15202331542969
1,182,XXXX,"(255, 0, 0)",b,m,7.152557373046875e-06,0,,,66.27607345581055
1,183,XXXX,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,67.39592552185059
1,184,XXXX,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,77.36015319824219
1,185,XXXX,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,73.85706901550293
1,186,XXXX,"(0, 0, 255)",b,b,1.52587890625e-05,1,,,73.22883605957031
1,187,BLUE,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,72.88002967834473
1,188,BLUE,"(0, 0, 255)",m,b,1.5735626220703125e-05,0,,,71.38609886169434
1,189,XXXX,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,71.49600982666016
1,190,XXXX,"(255, 0, 0)",m,m,1.621246337890625e-05,1,,,73.10962677001953
1,191,XXXX,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,66.15090370178223
1,192,XXXX,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,67.08788871765137
1,193,BLUE,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,66.12801551818848
1,194,XXXX,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,65.18411636352539
1,195,BLUE,"(0, 0, 255)",b,b,1.3828277587890625e-05,1,,,65.2458667755127
1,196,RED,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,66.78605079650879
1,197,RED,"(0, 0, 255)",b,b,1.4781951904296875e-05,1,,,236.45710945129395
1,198,XXXX,"(0, 0, 255)",m,b,1.621246337890625e-05,0,,,67.63386726379395
1,199,RED,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,65.41800498962402
1,200,BLUE,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,65.6590461730957
1,201,XXXX,"(0, 0, 255)",b,b,8.106231689453125e-06,1,,,73.04978370666504
1,202,RED,"(0, 0, 255)",m,b,1.3113021850585938e-05,0,,,65.3529167175293
1,203,BLUE,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,73.40693473815918
1,204,BLUE,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,65.96684455871582
1,205,XXXX,"(0, 0, 255)",m,b,1.52587890625e-05,0,,,71.5482234954834
1,206,BLUE,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,65.29402732849121
1,207,BLUE,"(0, 0, 255)",m,b,1.0013580322265625e-05,0,,,64.86892700195312
1,208,XXXX,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,65.95873832702637
1,209,BLUE,"(0, 0, 255)",b,b,7.152557373046875e-06,1,,,65.31405448913574
1,210,RED,"(255, 0, 0)",b,m,7.152557373046875e-06,0,,,65.96803665161133
1,211,BLUE,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,83.02783966064453
1,212,RED,"(0, 0, 255)",b,b,2.5987625122070312e-05,1,,,69.00620460510254
1,213,BLUE,"(0, 0, 255)",m,b,1.0013580322265625e-05,0,,,261.82079315185547
1,214,BLUE,"(255, 0, 0)",b,m,1.3113021850585938e-05,0,,,72.37887382507324
1,215,RED,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,72.22199440002441
1,216,RED,"(0, 0, 255)",b,b,1.1205673217773438e-05,1,,,66.54500961303711
1,217,BLUE,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,72.68404960632324
1,218,BLUE,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,72.78108596801758
1,219,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,65.42205810546875
1,220,RED,"(255, 0, 0)",m,m,1.6927719116210938e-05,1,,,66.15900993347168
1,221,BLUE,"(255, 0, 0)",m,m,5.0067901611328125e-06,1,,,73.17709922790527
1,222,BLUE,"(0, 0, 255)",m,b,5.245208740234375e-06,0,,,258.08119773864746
1,223,BLUE,"(255, 0, 0)",m,m,1.621246337890625e-05,1,,,66.12086296081543
1,224,XXXX,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,72.56293296813965
1,225,XXXX,"(255, 0, 0)",b,m,1.0013580322265625e-05,0,,,72.09920883178711
1,226,RED,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,82.54194259643555
1,227,XXXX,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,66.36309623718262
1,228,RED,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,72.19290733337402
1,229,BLUE,"(255, 0, 0)",m,m,1.1920928955078125e-05,1,,,65.16695022583008
1,230,XXXX,"(255, 0, 0)",m,m,1.5974044799804688e-05,1,,,72.59106636047363
1,231,BLUE,"(255, 0, 0)",b,m,1.0013580322265625e-05,0,,,65.29927253723145
1,232,BLUE,"(255, 0, 0)",m,m,1.2159347534179688e-05,1,,,71.72584533691406
1,233,BLUE,"(0, 0, 255)",m,b,1.621246337890625e-05,0,,,71.6099739074707
1,234,RED,"(0, 0, 255)",b,b,1.621246337890625e-05,1,,,73.11892509460449
1,235,XXXX,"(0, 0, 255)",m,b,1.2874603271484375e-05,0,,,71.66266441345215
1,236,BLUE,"(255, 0, 0)",b,m,1.1682510375976562e-05,0,,,65.44089317321777
1,237,XXXX,"(0, 0, 255)",b,b,1.71661376953125e-05,1,,,67.138671875
1,238,XXXX,"(0, 0, 255)",b,b,1.4066696166992188e-05,1,,,65.10114669799805
1,239,BLUE,"(0, 0, 255)",m,b,1.5735626220703125e-05,0,,,65.41800498962402
1,240,BLUE,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,66.02191925048828
1,241,RED,"(0, 0, 255)",m,b,1.1920928955078125e-05,0,,,70.8920955657959
1,242,RED,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,67.27290153503418
1,243,BLUE,"(255, 0, 0)",m,m,3.0994415283203125e-06,1,,,65.07086753845215
1,244,BLUE,"(0, 0, 255)",b,b,2.86102294921875e-06,1,,,65.36078453063965
1,245,XXXX,"(255, 0, 0)",m,m,8.106231689453125e-06,1,,,71.42877578735352
1,246,BLUE,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,75.11687278747559
1,247,RED,"(255, 0, 0)",m,m,1.71661376953125e-05,1,,,66.73002243041992
1,248,XXXX,"(0, 0, 255)",b,b,1.3828277587890625e-05,1,,,72.68500328063965
1,249,BLUE,"(255, 0, 0)",b,m,1.0967254638671875e-05,0,,,66.15996360778809
1,250,BLUE,"(255, 0, 0)",m,m,9.059906005859375e-06,1,,,71.57111167907715
1,251,BLUE,"(255, 0, 0)",b,m,1.52587890625e-05,0,,,65.9949779510498
1,252,RED,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,65.35601615905762
1,253,RED,"(0, 0, 255)",b,b,8.106231689453125e-06,1,,,71.91896438598633
1,254,BLUE,"(255, 0, 0)",m,m,1.0728836059570312e-05,1,,,71.70820236206055
1,255,BLUE,"(255, 0, 0)",m,m,1.5735626220703125e-05,1,,,72.78323173522949
1,256,RED,"(0, 0, 255)",b,b,2.193450927734375e-05,1,,,71.8832015991211
1,257,BLUE,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,66.62917137145996
1,258,BLUE,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,251.6617774963379
1,259,XXXX,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,65.99092483520508
1,260,XXXX,"(0, 0, 255)",b,b,1.4781951904296875e-05,1,,,72.48592376708984
1,261,XXXX,"(0, 0, 255)",m,b,1.0728836059570312e-05,0,,,71.51484489440918
1,262,BLUE,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,66.06197357177734
1,263,XXXX,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,68.94111633300781
1,264,RED,"(255, 0, 0)",b,m,1.621246337890625e-05,0,,,65.54007530212402
1,265,BLUE,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,72.55101203918457
1,266,BLUE,"(0, 0, 255)",b,b,1.621246337890625e-05,1,,,66.01428985595703
1,267,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,66.62201881408691
1,268,RED,"(255, 0, 0)",b,m,1.1920928955078125e-05,0,,,65.95611572265625
1,269,BLUE,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,71.93398475646973
1,270,XXXX,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,65.41204452514648
1,271,RED,"(255, 0, 0)",b,m,1.621246337890625e-05,0,,,72.21508026123047
1,272,BLUE,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,70.92094421386719
1,273,RED,"(0, 0, 255)",b,b,6.198883056640625e-06,1,,,71.5341567993164
1,274,BLUE,"(0, 0, 255)",b,b,1.52587890625e-05,1,,,67.46411323547363
1,275,BLUE,"(0, 0, 255)",b,b,1.0013580322265625e-05,1,,,64.00179862976074
1,276,RED,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,73.61578941345215
1,277,XXXX,"(0, 0, 255)",b,b,1.3113021850585938e-05,1,,,66.06411933898926
1,278,RED,"(0, 0, 255)",m,b,1.2159347534179688e-05,0,,,64.79096412658691
1,279,RED,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,65.58609008789062
1,280,BLUE,"(0, 0, 255)",m,b,7.867813110351562e-06,0,,,72.44205474853516
1,281,RED,"(0, 0, 255)",b,b,1.0013580322265625e-05,1,,,71.77925109863281
1,282,XXXX,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,66.13898277282715
1,283,XXXX,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,66.58387184143066
1,284,RED,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,66.04599952697754
1,285,BLUE,"(0, 0, 255)",m,b,1.0013580322265625e-05,0,,,71.39706611633301
1,286,RED,"(255, 0, 0)",m,m,1.71661376953125e-05,1,,,65.58585166931152
1,287,XXXX,"(255, 0, 0)",b,m,1.4066696166992188e-05,0,,,65.68503379821777
1,288,XXXX,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,64.62788581848145
1,289,XXXX,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,83.75382423400879
1,290,XXXX,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,72.66521453857422
