Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy
2,60,RED,"(255, 0, 0)",m,m,0.0,1
2,61,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,62,RED,"(255, 0, 0)",b,m,0.0,0
2,63,BLUE,"(0, 0, 255)",m,b,0.0,0
2,64,RED,"(255, 0, 0)",m,m,0.0,1
2,65,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,66,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,67,RED,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,68,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,69,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,70,XXXX,"(0, 0, 255)",m,b,0.0,0
2,71,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,72,BLUE,"(0, 0, 255)",b,b,7.152557373046875e-07,1
2,73,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,74,BLUE,"(255, 0, 0)",m,m,0.0,1
2,75,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,76,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,77,XXXX,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,78,XXXX,"(255, 0, 0)",m,m,0.0,1
2,79,BLUE,"(255, 0, 0)",m,m,0.0,1
2,80,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,81,RED,"(255, 0, 0)",m,m,0.0,1
2,82,BLUE,"(0, 0, 255)",m,b,0.0,0
2,83,RED,"(0, 0, 255)",m,b,0.0,0
2,84,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,85,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,86,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,87,BLUE,"(0, 0, 255)",b,b,0.0,1
2,88,XXXX,"(0, 0, 255)",b,b,0.0,1
2,89,XXXX,"(255, 0, 0)",b,m,0.0,0
2,90,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,91,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,92,BLUE,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,93,RED,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,94,XXXX,"(255, 0, 0)",b,m,0.0,0
2,95,BLUE,"(255, 0, 0)",b,m,0.0,0
2,96,RED,"(0, 0, 255)",b,b,0.0,1
2,97,RED,"(255, 0, 0)",m,m,0.0,1
2,98,BLUE,"(0, 0, 255)",b,b,0.0,1
2,99,BLUE,"(255, 0, 0)",m,m,0.0,1
2,100,RED,"(0, 0, 255)",m,b,0.0,0
2,101,BLUE,"(0, 0, 255)",b,b,0.0,1
2,102,RED,"(255, 0, 0)",m,m,0.0,1
2,103,RED,"(255, 0, 0)",b,m,0.0,0
2,104,RED,"(0, 0, 255)",m,b,0.0,0
2,105,RED,"(255, 0, 0)",m,m,0.0,1
2,106,BLUE,"(255, 0, 0)",b,m,0.0,0
2,107,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,108,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,109,RED,"(255, 0, 0)",b,m,0.0,0
2,110,BLUE,"(0, 0, 255)",b,b,0.0,1
2,111,XXXX,"(0, 0, 255)",m,b,0.0,0
2,112,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,113,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,114,XXXX,"(255, 0, 0)",m,m,0.0,1
2,115,XXXX,"(0, 0, 255)",b,b,0.0,1
2,116,XXXX,"(0, 0, 255)",b,b,0.0,1
2,117,XXXX,"(255, 0, 0)",b,m,7.152557373046875e-07,0
2,118,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,119,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,120,RED,"(0, 0, 255)",m,b,0.0,0
2,121,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,122,BLUE,"(0, 0, 255)",b,b,0.0,1
2,123,BLUE,"(0, 0, 255)",m,b,0.0,0
2,124,XXXX,"(255, 0, 0)",m,m,0.0,1
2,125,BLUE,"(255, 0, 0)",b,m,0.0,0
2,126,XXXX,"(255, 0, 0)",m,m,0.0,1
2,127,RED,"(0, 0, 255)",b,b,0.0,1
2,128,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,129,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,130,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,131,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,132,RED,"(0, 0, 255)",b,b,0.0,1
2,133,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,134,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,135,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,136,BLUE,"(0, 0, 255)",b,b,0.0,1
2,137,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,138,BLUE,"(0, 0, 255)",m,b,0.0,0
2,139,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,140,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,141,XXXX,"(255, 0, 0)",b,m,0.0,0
2,142,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,143,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,144,RED,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,145,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,146,RED,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,147,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,148,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,149,BLUE,"(0, 0, 255)",m,b,0.0,0
2,150,RED,"(255, 0, 0)",m,m,0.0,1
2,151,RED,"(255, 0, 0)",m,m,0.0,1
2,152,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,153,BLUE,"(255, 0, 0)",m,m,0.0,1
2,154,BLUE,"(0, 0, 255)",b,b,0.0,1
2,155,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,156,XXXX,"(255, 0, 0)",b,m,0.0,0
2,157,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,158,RED,"(255, 0, 0)",b,m,7.152557373046875e-07,0
2,159,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,160,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,161,XXXX,"(255, 0, 0)",m,m,0.0,1
2,162,XXXX,"(255, 0, 0)",m,m,7.152557373046875e-07,1
2,163,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,164,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,165,BLUE,"(255, 0, 0)",m,m,0.0,1
2,166,BLUE,"(0, 0, 255)",b,b,0.0,1
2,167,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,168,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,169,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,170,BLUE,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,171,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,172,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,173,BLUE,"(255, 0, 0)",m,m,0.0,1
2,174,BLUE,"(0, 0, 255)",b,b,0.0,1
2,175,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,176,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,177,XXXX,"(0, 0, 255)",b,b,0.0,1
2,178,RED,"(0, 0, 255)",b,b,0.0,1
2,179,RED,"(0, 0, 255)",b,b,0.0,1
2,180,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,181,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,182,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,183,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,184,BLUE,"(0, 0, 255)",m,b,0.0,0
2,185,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,186,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,187,RED,"(0, 0, 255)",b,b,0.0,1
2,188,BLUE,"(0, 0, 255)",b,b,0.0,1
2,189,XXXX,"(255, 0, 0)",b,m,0.0,0
2,190,BLUE,"(255, 0, 0)",b,m,0.0,0
2,191,BLUE,"(0, 0, 255)",m,b,0.0,0
2,192,XXXX,"(0, 0, 255)",m,b,0.0,0
2,193,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,194,XXXX,"(255, 0, 0)",b,m,0.0,0
2,195,BLUE,"(255, 0, 0)",b,m,0.0,0
2,196,BLUE,"(0, 0, 255)",b,b,0.0,1
2,197,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,198,RED,"(0, 0, 255)",m,b,0.0,0
2,199,XXXX,"(255, 0, 0)",b,m,0.0,0
2,200,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,201,BLUE,"(0, 0, 255)",b,b,0.0,1
2,202,BLUE,"(255, 0, 0)",m,m,0.0,1
2,203,RED,"(0, 0, 255)",m,b,0.0,0
2,204,RED,"(0, 0, 255)",b,b,0.0,1
2,205,BLUE,"(255, 0, 0)",m,m,0.0,1
2,206,XXXX,"(255, 0, 0)",b,m,0.0,0
2,207,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,208,BLUE,"(255, 0, 0)",m,m,0.0,1
2,209,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,210,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,211,RED,"(255, 0, 0)",m,m,7.152557373046875e-07,1
2,212,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,213,BLUE,"(0, 0, 255)",m,b,0.0,0
2,214,BLUE,"(255, 0, 0)",b,m,0.0,0
2,215,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,216,RED,"(0, 0, 255)",m,b,0.0,0
2,217,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,218,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,219,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,220,RED,"(0, 0, 255)",m,b,0.0,0
2,221,XXXX,"(255, 0, 0)",b,m,0.0,0
2,222,RED,"(0, 0, 255)",m,b,0.0,0
2,223,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,224,BLUE,"(0, 0, 255)",m,b,0.0,0
2,225,BLUE,"(255, 0, 0)",m,m,0.0,1
2,226,XXXX,"(255, 0, 0)",m,m,0.0,1
2,227,BLUE,"(255, 0, 0)",m,m,0.0,1
2,228,XXXX,"(0, 0, 255)",m,b,0.0,0
2,229,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,230,RED,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,231,XXXX,"(0, 0, 255)",b,b,7.152557373046875e-07,1
2,232,RED,"(0, 0, 255)",b,b,0.0,1
2,233,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,234,RED,"(255, 0, 0)",b,m,0.0,0
2,235,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,236,BLUE,"(255, 0, 0)",m,m,0.0,1
2,237,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,238,XXXX,"(255, 0, 0)",b,m,0.0,0
2,239,RED,"(255, 0, 0)",b,m,0.0,0
2,240,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,241,BLUE,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,242,RED,"(0, 0, 255)",b,b,0.0,1
2,243,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,244,XXXX,"(255, 0, 0)",m,m,0.0,1
2,245,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,246,RED,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,247,RED,"(255, 0, 0)",m,m,0.0,1
2,248,BLUE,"(255, 0, 0)",b,m,7.152557373046875e-07,0
2,249,RED,"(255, 0, 0)",b,m,0.0,0
2,250,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,251,BLUE,"(0, 0, 255)",m,b,0.0,0
2,252,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,253,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,254,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,255,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,256,BLUE,"(255, 0, 0)",m,m,0.0,1
2,257,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,258,XXXX,"(255, 0, 0)",b,m,0.0,0
2,259,RED,"(0, 0, 255)",m,b,0.0,0
2,260,RED,"(0, 0, 255)",b,b,2.1457672119140625e-06,1
2,261,RED,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,262,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,263,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,264,RED,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,265,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,266,BLUE,"(255, 0, 0)",m,m,0.0,1
2,267,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,268,RED,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,269,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,270,RED,"(0, 0, 255)",b,b,0.0,1
2,271,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,272,RED,"(0, 0, 255)",b,b,0.0,1
2,273,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,274,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,275,XXXX,"(255, 0, 0)",b,m,0.0,0
2,276,BLUE,"(0, 0, 255)",b,b,0.0,1
2,277,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,278,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,279,RED,"(0, 0, 255)",m,b,0.0,0
2,280,BLUE,"(255, 0, 0)",m,m,0.0,1
2,281,XXXX,"(0, 0, 255)",m,b,0.0,0
2,282,XXXX,"(0, 0, 255)",b,b,0.0,1
2,283,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,284,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,285,XXXX,"(0, 0, 255)",m,b,0.0,0
2,286,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,287,XXXX,"(255, 0, 0)",m,m,0.0,1
2,288,RED,"(0, 0, 255)",m,b,0.0,0
2,289,BLUE,"(255, 0, 0)",b,m,0.0,0
2,290,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,291,RED,"(0, 0, 255)",b,b,0.0,1
2,292,XXXX,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,293,XXXX,"(255, 0, 0)",b,m,0.0,0
2,294,BLUE,"(0, 0, 255)",m,b,7.152557373046875e-07,0
2,295,BLUE,"(0, 0, 255)",b,b,0.0,1
2,296,BLUE,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,297,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,298,BLUE,"(0, 0, 255)",m,b,0.0,0
2,299,BLUE,"(255, 0, 0)",b,m,0.0,0
2,300,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,301,BLUE,"(0, 0, 255)",b,b,0.0,1
2,302,XXXX,"(255, 0, 0)",b,m,0.0,0
2,303,BLUE,"(0, 0, 255)",b,b,0.0,1
2,304,RED,"(255, 0, 0)",b,m,0.0,0
2,305,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,306,BLUE,"(0, 0, 255)",b,b,0.0,1
2,307,BLUE,"(0, 0, 255)",b,b,7.152557373046875e-07,1
2,308,XXXX,"(0, 0, 255)",b,b,0.0,1
2,309,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,310,XXXX,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,311,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,312,XXXX,"(255, 0, 0)",b,m,0.0,0
2,313,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,314,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,315,XXXX,"(0, 0, 255)",m,b,0.0,0
2,316,BLUE,"(255, 0, 0)",b,m,0.0,0
2,317,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,318,RED,"(255, 0, 0)",m,m,0.0,1
2,319,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,320,RED,"(0, 0, 255)",b,b,0.0,1
2,321,RED,"(255, 0, 0)",b,m,0.0,0
2,322,RED,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,323,RED,"(255, 0, 0)",m,m,0.0,1
2,324,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,325,RED,"(0, 0, 255)",m,b,0.0,0
2,326,XXXX,"(255, 0, 0)",m,m,0.0,1
2,327,XXXX,"(0, 0, 255)",m,b,0.0,0
2,328,BLUE,"(255, 0, 0)",b,m,0.0,0
2,329,BLUE,"(0, 0, 255)",b,b,0.0,1
2,330,BLUE,"(0, 0, 255)",b,b,0.0,1
2,331,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,332,BLUE,"(0, 0, 255)",b,b,0.0,1
2,333,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,334,XXXX,"(255, 0, 0)",b,m,0.0,0
2,335,RED,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,336,RED,"(0, 0, 255)",b,b,0.0,1
2,337,RED,"(0, 0, 255)",m,b,0.0,0
2,338,XXXX,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,339,BLUE,"(255, 0, 0)",m,m,0.0,1
2,340,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,341,RED,"(0, 0, 255)",m,b,0.0,0
2,342,BLUE,"(0, 0, 255)",b,b,0.0,1
2,343,BLUE,"(0, 0, 255)",b,b,0.0,1
2,344,RED,"(0, 0, 255)",m,b,0.0,0
2,345,XXXX,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,346,XXXX,"(0, 0, 255)",m,b,0.0,0
2,347,XXXX,"(255, 0, 0)",b,m,0.0,0
2,348,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,349,RED,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
2,350,XXXX,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,351,BLUE,"(0, 0, 255)",m,b,1.1920928955078125e-06,0
2,352,BLUE,"(0, 0, 255)",b,b,0.0,1
2,353,XXXX,"(255, 0, 0)",m,m,0.0,1
2,354,XXXX,"(0, 0, 255)",m,b,0.0,0
2,355,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
2,356,RED,"(0, 0, 255)",b,b,9.5367431640625e-07,1
2,357,RED,"(0, 0, 255)",b,b,0.0,1
2,358,RED,"(0, 0, 255)",m,b,0.0,0
2,359,BLUE,"(0, 0, 255)",b,b,0.0,1
2,360,RED,"(255, 0, 0)",b,m,0.0,0
2,361,BLUE,"(255, 0, 0)",m,m,0.0,1
2,362,BLUE,"(0, 0, 255)",b,b,0.0,1
2,363,XXXX,"(0, 0, 255)",b,b,0.0,1
2,364,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
2,365,RED,"(255, 0, 0)",b,m,1.1920928955078125e-06,0
2,366,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
2,367,XXXX,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
2,368,BLUE,"(0, 0, 255)",b,b,0.0,1
2,369,XXXX,"(0, 0, 255)",b,b,0.0,1
2,370,RED,"(0, 0, 255)",b,b,0.0,1
